Line no. 	 Token no. 		 Token 		 Lexeme
    690		    6399		 Identifier	     EOF
    690		    6400		 Identifier	 actions
    690		    6401		 Operator	       *
    690		    6402		 Operator	       /
    692		    6403		 Keyword	  switch
    692		    6404		 Special symbol	       (
    692		    6405		 Identifier	      yy
    692		    6406		 Identifier	     act
    692		    6407		 Special symbol	       )
    693		    6408		 Special symbol	       {
    693		    6409		 Operator	       /
    693		    6410		 Operator	       *
    693		    6411		 Identifier	 beginning
    693		    6412		 Identifier	      of
    693		    6413		 Identifier	  action
    693		    6414		 Keyword	  switch
    693		    6415		 Operator	       *
    693		    6416		 Operator	       /
    694		    6417		 Keyword	    case
    694		    6418		 Digit		       0
    694		    6419		 Operator	       /
    694		    6420		 Operator	       *
    694		    6421		 Identifier	    must
    694		    6422		 Identifier	    back
    694		    6423		 Identifier	      up
    694		    6424		 Operator	       *
    694		    6425		 Operator	       /
    695		    6426		 Operator	       /
    695		    6427		 Operator	       *
    695		    6428		 Identifier	    undo
    695		    6429		 Identifier	     the
    695		    6430		 Identifier	 effects
    695		    6431		 Identifier	      of
    695		    6432		 Identifier	      YY
    695		    6433		 Identifier	      DO
    695		    6434		 Identifier	  BEFORE
    695		    6435		 Identifier	  ACTION
    695		    6436		 Operator	       *
    695		    6437		 Operator	       /
    696		    6438		 Operator	       *
    696		    6439		 Identifier	      yy
    696		    6440		 Identifier	      cp
    696		    6441		 Special symbol	       (
    696		    6442		 Identifier	      yy
    696		    6443		 Identifier	    hold
    696		    6444		 Keyword	    char
    696		    6445		 Special symbol	       ;
    697		    6446		 Identifier	      yy
    697		    6447		 Identifier	      cp
    697		    6448		 Special symbol	       (
    697		    6449		 Identifier	      yy
    697		    6450		 Identifier	    last
    697		    6451		 Identifier	 accepting
    697		    6452		 Identifier	    cpos
    697		    6453		 Special symbol	       ;
    698		    6454		 Identifier	      yy
    698		    6455		 Identifier	 current
    698		    6456		 Identifier	   state
    698		    6457		 Special symbol	       (
    698		    6458		 Identifier	      yy
    698		    6459		 Identifier	    last
    698		    6460		 Identifier	 accepting
    698		    6461		 Identifier	   state
    698		    6462		 Special symbol	       ;
    699		    6463		 Keyword	    goto
    699		    6464		 Identifier	      yy
    699		    6465		 Identifier	    find
    699		    6466		 Identifier	  action
    701		    6467		 Keyword	    case
    701		    6468		 Digit		       1
    702		    6469		 Identifier	      YY
    702		    6470		 Identifier	    RULE
    702		    6471		 Identifier	   SETUP
    702		    6472		 Special symbol	       #
    702		    6473		 Identifier	    line
    702		    6474		 Digit		       8
    702		    6475		 Identifier	     lab
    702		    6476		 Digit		       2
    702		    6477		 Identifier	       l
    703		    6478		 Special symbol	       {
    703		    6479		 Identifier	  printf
    703		    6480		 Identifier	       n
    703		    6481		 Special symbol	       %
    703		    6482		 Identifier	       s
    703		    6483		 Identifier	      is
    703		    6484		 Identifier	       a
    703		    6485		 Identifier	 preprocessor
    703		    6486		 Identifier	 directive
    703		    6487		 Identifier	       n
    703		    6488		 Identifier	  yytext
    703		    6489		 Special symbol	       ;
    703		    6490		 Special symbol	       }
    704		    6491		 Identifier	      YY
    704		    6492		 Identifier	   BREAK
    704		    6493		 Keyword	    case
    704		    6494		 Digit		       2
    705		    6495		 Special symbol	       #
    705		    6496		 Identifier	    line
    705		    6497		 Digit		       1
    705		    6498		 Digit		       1
    705		    6499		 Identifier	     lab
    705		    6500		 Digit		       2
    705		    6501		 Identifier	       l
    706		    6502		 Keyword	    case
    706		    6503		 Digit		       3
    707		    6504		 Special symbol	       #
    707		    6505		 Identifier	    line
    707		    6506		 Digit		       1
    707		    6507		 Digit		       2
    707		    6508		 Identifier	     lab
    707		    6509		 Digit		       2
    707		    6510		 Identifier	       l
    708		    6511		 Keyword	    case
    708		    6512		 Digit		       4
    709		    6513		 Special symbol	       #
    709		    6514		 Identifier	    line
    709		    6515		 Digit		       1
    709		    6516		 Digit		       3
    709		    6517		 Identifier	     lab
    709		    6518		 Digit		       2
    709		    6519		 Identifier	       l
    710		    6520		 Keyword	    case
    710		    6521		 Digit		       5
    711		    6522		 Special symbol	       #
    711		    6523		 Identifier	    line
    711		    6524		 Digit		       1
    711		    6525		 Digit		       4
    711		    6526		 Identifier	     lab
    711		    6527		 Digit		       2
    711		    6528		 Identifier	       l
    712		    6529		 Keyword	    case
    712		    6530		 Digit		       6
    713		    6531		 Special symbol	       #
    713		    6532		 Identifier	    line
    713		    6533		 Digit		       1
    713		    6534		 Digit		       5
    713		    6535		 Identifier	     lab
    713		    6536		 Digit		       2
    713		    6537		 Identifier	       l
    714		    6538		 Keyword	    case
    714		    6539		 Digit		       7
    715		    6540		 Special symbol	       #
    715		    6541		 Identifier	    line
    715		    6542		 Digit		       1
    715		    6543		 Digit		       6
    715		    6544		 Identifier	     lab
    715		    6545		 Digit		       2
    715		    6546		 Identifier	       l
    716		    6547		 Keyword	    case
    716		    6548		 Digit		       8
    717		    6549		 Special symbol	       #
    717		    6550		 Identifier	    line
    717		    6551		 Digit		       1
    717		    6552		 Digit		       7
    717		    6553		 Identifier	     lab
    717		    6554		 Digit		       2
    717		    6555		 Identifier	       l
    718		    6556		 Keyword	    case
    718		    6557		 Digit		       9
    719		    6558		 Special symbol	       #
    719		    6559		 Identifier	    line
    719		    6560		 Digit		       1
    719		    6561		 Digit		       8
    719		    6562		 Identifier	     lab
    719		    6563		 Digit		       2
    719		    6564		 Identifier	       l
    720		    6565		 Keyword	    case
    720		    6566		 Digit		       1
    720		    6567		 Digit		       0
    721		    6568		 Special symbol	       #
    721		    6569		 Identifier	    line
    721		    6570		 Digit		       1
    721		    6571		 Digit		       9
    721		    6572		 Identifier	     lab
    721		    6573		 Digit		       2
    721		    6574		 Identifier	       l
    722		    6575		 Keyword	    case
    722		    6576		 Digit		       1
    722		    6577		 Digit		       1
    723		    6578		 Special symbol	       #
    723		    6579		 Identifier	    line
    723		    6580		 Digit		       2
    723		    6581		 Digit		       0
    723		    6582		 Identifier	     lab
    723		    6583		 Digit		       2
    723		    6584		 Identifier	       l
    724		    6585		 Keyword	    case
    724		    6586		 Digit		       1
    724		    6587		 Digit		       2
    725		    6588		 Special symbol	       #
    725		    6589		 Identifier	    line
    725		    6590		 Digit		       2
    725		    6591		 Digit		       1
    725		    6592		 Identifier	     lab
    725		    6593		 Digit		       2
    725		    6594		 Identifier	       l
    726		    6595		 Keyword	    case
    726		    6596		 Digit		       1
    726		    6597		 Digit		       3
    727		    6598		 Special symbol	       #
    727		    6599		 Identifier	    line
    727		    6600		 Digit		       2
    727		    6601		 Digit		       2
    727		    6602		 Identifier	     lab
    727		    6603		 Digit		       2
    727		    6604		 Identifier	       l
    728		    6605		 Keyword	    case
    728		    6606		 Digit		       1
    728		    6607		 Digit		       4
    729		    6608		 Special symbol	       #
    729		    6609		 Identifier	    line
    729		    6610		 Digit		       2
    729		    6611		 Digit		       3
    729		    6612		 Identifier	     lab
    729		    6613		 Digit		       2
    729		    6614		 Identifier	       l
    730		    6615		 Keyword	    case
    730		    6616		 Digit		       1
    730		    6617		 Digit		       5
    731		    6618		 Special symbol	       #
    731		    6619		 Identifier	    line
    731		    6620		 Digit		       2
    731		    6621		 Digit		       4
    731		    6622		 Identifier	     lab
    731		    6623		 Digit		       2
    731		    6624		 Identifier	       l
    732		    6625		 Keyword	    case
    732		    6626		 Digit		       1
    732		    6627		 Digit		       6
    733		    6628		 Special symbol	       #
    733		    6629		 Identifier	    line
    733		    6630		 Digit		       2
    733		    6631		 Digit		       5
    733		    6632		 Identifier	     lab
    733		    6633		 Digit		       2
    733		    6634		 Identifier	       l
    734		    6635		 Keyword	    case
    734		    6636		 Digit		       1
    734		    6637		 Digit		       7
    735		    6638		 Special symbol	       #
    735		    6639		 Identifier	    line
    735		    6640		 Digit		       2
    735		    6641		 Digit		       6
    735		    6642		 Identifier	     lab
    735		    6643		 Digit		       2
    735		    6644		 Identifier	       l
    736		    6645		 Keyword	    case
    736		    6646		 Digit		       1
    736		    6647		 Digit		       8
    737		    6648		 Identifier	      YY
    737		    6649		 Identifier	    RULE
    737		    6650		 Identifier	   SETUP
    737		    6651		 Special symbol	       #
    737		    6652		 Identifier	    line
    737		    6653		 Digit		       2
    737		    6654		 Digit		       6
    737		    6655		 Identifier	     lab
    737		    6656		 Digit		       2
    737		    6657		 Identifier	       l
    738		    6658		 Special symbol	       {
    738		    6659		 Identifier	  printf
    738		    6660		 Identifier	       n
    738		    6661		 Identifier	       t
    738		    6662		 Special symbol	       %
    738		    6663		 Identifier	       s
    738		    6664		 Identifier	      is
    738		    6665		 Identifier	       a
    738		    6666		 Identifier	 keyword
    738		    6667		 Identifier	  yytext
    738		    6668		 Special symbol	       ;
    738		    6669		 Special symbol	       }
    739		    6670		 Identifier	      YY
    739		    6671		 Identifier	   BREAK
    739		    6672		 Keyword	    case
    739		    6673		 Digit		       1
    739		    6674		 Digit		       9
    740		    6675		 Identifier	      YY
    740		    6676		 Identifier	    RULE
    740		    6677		 Identifier	   SETUP
    740		    6678		 Special symbol	       #
    740		    6679		 Identifier	    line
    740		    6680		 Digit		       2
    740		    6681		 Digit		       8
    740		    6682		 Identifier	     lab
    740		    6683		 Digit		       2
    740		    6684		 Identifier	       l
